,0
pitch_type,0
game_date,0
release_speed,0
release_pos_x,1
release_pos_z,1
player_name,0
batter,0
pitcher,0
events,5735
description,0
spin_dir,7444
spin_rate_deprecated,7444
break_angle_deprecated,7444
break_length_deprecated,7444
zone,0
des,5735
game_type,0
stand,0
p_throws,0
home_team,0
away_team,0
type,0
hit_location,6117
bb_type,6554
balls,0
strikes,0
game_year,0
pfx_x,0
pfx_z,0
plate_x,0
plate_z,0
on_3b,6774
on_2b,6257
on_1b,4993
outs_when_up,0
inning,0
inning_topbot,0
hc_x,6556
hc_y,6556
tfs_deprecated,7444
tfs_zulu_deprecated,7444
fielder_2,0
umpire,7444
sv_id,60
vx0,0
vy0,0
vz0,0
ax,0
ay,0
az,0
sz_top,0
sz_bot,0
hit_distance_sc,6037
launch_speed,6541
launch_angle,6541
effective_speed,1
release_spin_rate,193
release_extension,1
game_pk,0
pitcher.1,0
fielder_2.1,0
fielder_3,0
fielder_4,0
fielder_5,0
fielder_6,0
fielder_7,0
fielder_8,0
fielder_9,0
release_pos_y,1
estimated_ba_using_speedangle,6561
estimated_woba_using_speedangle,6561
woba_value,5735
woba_denom,5742
babip_value,5735
iso_value,5735
launch_speed_angle,6561
at_bat_number,0
pitch_number,0
pitch_name,1
home_score,0
away_score,0
bat_score,0
fld_score,0
post_away_score,0
post_home_score,0
post_bat_score,0
post_fld_score,0
if_fielding_alignment,3
of_fielding_alignment,3
